Experiment, Pop. Size, Keep Ratio, Mutation Ratio, Max generations, Generations, Generations Std
1, 10, 0.25, 0, 1000, 1000, 0
2, 10, 0.25, 0.25, 1000, 520.728, 399.728565424
3, 10, 0.25, 0.5, 1000, 334.196, 334.358073903
4, 10, 0.25, 0.75, 1000, 131.762, 129.937959642
5, 10, 0.25, 1, 1000, 147.376, 144.97113721
6, 10, 0.5, 0, 1000, 998.014, 44.3638794967
7, 10, 0.5, 0.25, 1000, 523.166, 397.082407623
8, 10, 0.5, 0.5, 1000, 315.006, 262.791944252
9, 10, 0.5, 0.75, 1000, 609.86, 355.293028921
10, 10, 0.5, 1, 1000, 753.022, 335.906388025
11, 10, 0.75, 0, 1000, 998.026, 44.0958198019
12, 10, 0.75, 0.25, 1000, 505.724, 335.331775745
13, 10, 0.75, 0.5, 1000, 838.904, 293.790481098
14, 10, 0.75, 0.75, 1000, 923.558, 211.675389774
15, 10, 0.75, 1, 1000, 924.4, 212.775844494
16, 10, 1, 0, 1000, 998.002, 44.6319391916
17, 10, 1, 0.25, 1000, 990.414, 79.713729081
18, 10, 1, 0.5, 1000, 983.992, 107.868141432
19, 10, 1, 0.75, 1000, 984.82, 96.7989028863
20, 10, 1, 1, 1000, 984.358, 96.1002280747
21, 30, 0.25, 0, 1000, 998.004, 44.5872625758
22, 30, 0.25, 0.25, 1000, 400.246, 397.483118489
23, 30, 0.25, 0.5, 1000, 215.966, 291.376294238
24, 30, 0.25, 0.75, 1000, 76.382, 93.7311051679
25, 30, 0.25, 1, 1000, 73.872, 65.2549738794
26, 30, 0.5, 0, 1000, 976.284, 151.241090131
27, 30, 0.5, 0.25, 1000, 382.194, 392.51223212
28, 30, 0.5, 0.5, 1000, 147.254, 191.010589979
29, 30, 0.5, 0.75, 1000, 170.128, 158.794923143
30, 30, 0.5, 1, 1000, 372.218, 303.647714426
31, 30, 0.75, 0, 1000, 978.566, 142.931863641
32, 30, 0.75, 0.25, 1000, 371.352, 367.873636044
33, 30, 0.75, 0.5, 1000, 396.538, 300.350556111
34, 30, 0.75, 0.75, 1000, 639.728, 361.414944373
35, 30, 0.75, 1, 1000, 722.474, 339.885288478
36, 30, 1, 0, 1000, 1000, 0
37, 30, 1, 0.25, 1000, 982.846, 108.520570787
38, 30, 1, 0.5, 1000, 972.45, 136.009983089
39, 30, 1, 0.75, 1000, 927.198, 209.805106697
40, 30, 1, 1, 1000, 915.834, 223.992549974
41, 50, 0.25, 0, 1000, 988.098, 107.997186982
42, 50, 0.25, 0.25, 1000, 364.882, 395.042499076
43, 50, 0.25, 0.5, 1000, 189.89, 278.892498823
44, 50, 0.25, 0.75, 1000, 84.544, 152.485225724
45, 50, 0.25, 1, 1000, 41.432, 36.0553099557
46, 50, 0.5, 0, 1000, 964.464, 183.899572332
47, 50, 0.5, 0.25, 1000, 314.468, 363.977940233
48, 50, 0.5, 0.5, 1000, 134.778, 206.631112652
49, 50, 0.5, 0.75, 1000, 104.154, 90.6819402307
50, 50, 0.5, 1, 1000, 245.708, 224.91524345
51, 50, 0.75, 0, 1000, 917.626, 268.740339592
52, 50, 0.75, 0.25, 1000, 248.828, 291.40289363
53, 50, 0.75, 0.5, 1000, 402.702, 305.580531441
54, 50, 0.75, 0.75, 1000, 558.526, 354.857652199
55, 50, 0.75, 1, 1000, 584.736, 354.321168298
56, 50, 1, 0, 1000, 998.002, 44.6319391916
57, 50, 1, 0.25, 1000, 970.208, 136.028308583
58, 50, 1, 0.5, 1000, 949.732, 172.217281874
59, 50, 1, 0.75, 1000, 918.83, 215.405072132
60, 50, 1, 1, 1000, 891.152, 252.577704669
61, 80, 0.25, 0, 1000, 976.154, 152.068847184
62, 80, 0.25, 0.25, 1000, 297.802, 386.336463198
63, 80, 0.25, 0.5, 1000, 181.868, 280.223972165
64, 80, 0.25, 0.75, 1000, 65.722, 149.566081436
65, 80, 0.25, 1, 1000, 31.572, 26.683943037
66, 80, 0.5, 0, 1000, 913.346, 278.974497551
67, 80, 0.5, 0.25, 1000, 254.178, 346.218437285
68, 80, 0.5, 0.5, 1000, 119.752, 234.013945089
69, 80, 0.5, 0.75, 1000, 65.036, 52.1134791009
70, 80, 0.5, 1, 1000, 153.462, 136.323470305
71, 80, 0.75, 0, 1000, 833.996, 364.38341892
72, 80, 0.75, 0.25, 1000, 206.878, 301.232739117
73, 80, 0.75, 0.5, 1000, 283.48, 222.931060196
74, 80, 0.75, 0.75, 1000, 429.656, 319.158477349
75, 80, 0.75, 1, 1000, 467.864, 334.45307818
76, 80, 1, 0, 1000, 1000, 0
77, 80, 1, 0.25, 1000, 943.964, 181.312775898
78, 80, 1, 0.5, 1000, 896.908, 246.248613267
79, 80, 1, 0.75, 1000, 876.392, 255.913318012
80, 80, 1, 1, 1000, 825.16, 293.349468041
81, 100, 0.25, 0, 1000, 938.438, 239.456271908
82, 100, 0.25, 0.25, 1000, 283.074, 369.677909164
83, 100, 0.25, 0.5, 1000, 154.028, 281.263355622
84, 100, 0.25, 0.75, 1000, 65.32, 156.730295731
85, 100, 0.25, 1, 1000, 27.712, 22.1533080148
86, 100, 0.5, 0, 1000, 864.066, 339.759017016
87, 100, 0.5, 0.25, 1000, 228.4, 345.629529988
88, 100, 0.5, 0.5, 1000, 104.078, 208.283662144
89, 100, 0.5, 0.75, 1000, 64.44, 56.1165430154
90, 100, 0.5, 1, 1000, 137.33, 131.211223224
91, 100, 0.75, 0, 1000, 804.054, 385.716874254
92, 100, 0.75, 0.25, 1000, 149.66, 230.267801483
93, 100, 0.75, 0.5, 1000, 227.134, 214.236971702
94, 100, 0.75, 0.75, 1000, 377.678, 312.184750294
95, 100, 0.75, 1, 1000, 419.932, 317.340346278
96, 100, 1, 0, 1000, 994.006, 77.1497113669
97, 100, 1, 0.25, 1000, 934.484, 200.646050906
98, 100, 1, 0.5, 1000, 877.154, 262.774554103
99, 100, 1, 0.75, 1000, 818.538, 308.30829466
100, 100, 1, 1, 1000, 750.848, 338.279891356
101, 250, 0.25, 0, 1000, 834.404, 369.114406091
102, 250, 0.25, 0.25, 1000, 155.456, 295.529186484
103, 250, 0.25, 0.5, 1000, 72.626, 192.900010689
104, 250, 0.25, 0.75, 1000, 27.402, 101.155169893
105, 250, 0.25, 1, 1000, 16.788, 11.6450442678
106, 250, 0.5, 0, 1000, 556.602, 488.154884843
107, 250, 0.5, 0.25, 1000, 88.052, 228.148954186
108, 250, 0.5, 0.5, 1000, 32.36, 83.4892232567
109, 250, 0.5, 0.75, 1000, 35.282, 25.7056895648
110, 250, 0.5, 1, 1000, 60.524, 54.2556672063
111, 250, 0.75, 0, 1000, 363.614, 448.005572514
112, 250, 0.75, 0.25, 1000, 59.68, 85.570985737
113, 250, 0.75, 0.5, 1000, 111.926, 100.085885738
114, 250, 0.75, 0.75, 1000, 161.84, 146.006829977
115, 250, 0.75, 1, 1000, 187.032, 177.226123853
116, 250, 1, 0, 1000, 1000, 0
117, 250, 1, 0.25, 1000, 838.894, 296.861804151
118, 250, 1, 0.5, 1000, 715.792, 346.033045728
119, 250, 1, 0.75, 1000, 621.02, 367.424206606
120, 250, 1, 1, 1000, 581.044, 349.677179787
121, 500, 0.25, 0, 1000, 589.026, 487.14306864
122, 500, 0.25, 0.25, 1000, 88.85, 234.298261837
123, 500, 0.25, 0.5, 1000, 25.75, 105.573668592
124, 500, 0.25, 0.75, 1000, 10.924, 30.337340424
125, 500, 0.25, 1, 1000, 11.588, 7.2018231025
126, 500, 0.5, 0, 1000, 165.07, 346.642053277
127, 500, 0.5, 0.25, 1000, 19.95, 53.9902907938
128, 500, 0.5, 0.5, 1000, 19.67, 49.9301221709
129, 500, 0.5, 0.75, 1000, 23.726, 16.8485881901
130, 500, 0.5, 1, 1000, 33.6, 28.4301248678
131, 500, 0.75, 0, 1000, 73.506, 192.509662002
132, 500, 0.75, 0.25, 1000, 39.724, 21.4835710253
133, 500, 0.75, 0.5, 1000, 66.632, 60.2427138831
134, 500, 0.75, 0.75, 1000, 77.712, 74.3484031839
135, 500, 0.75, 1, 1000, 90.578, 88.6692275595
136, 500, 1, 0, 1000, 996.004, 63.0558164169
137, 500, 1, 0.25, 1000, 750.548, 326.364770917
138, 500, 1, 0.5, 1000, 550.984, 357.72000747
139, 500, 1, 0.75, 1000, 442.738, 333.099416625
140, 500, 1, 1, 1000, 350.68, 291.845523522
141, 750, 0.25, 0, 1000, 314.372, 456.885803693
142, 750, 0.25, 0.25, 1000, 47.316, 170.949103958
143, 750, 0.25, 0.5, 1000, 20.038, 94.54639367
144, 750, 0.25, 0.75, 1000, 7.714, 4.0767884419
145, 750, 0.25, 1, 1000, 9.546, 5.7057763714
146, 750, 0.5, 0, 1000, 37.428, 143.49592613
147, 750, 0.5, 0.25, 1000, 12.278, 5.5173105767
148, 750, 0.5, 0.5, 1000, 14.198, 8.0683824897
149, 750, 0.5, 0.75, 1000, 18.788, 13.1801007583
150, 750, 0.5, 1, 1000, 24.292, 19.3031276222
151, 750, 0.75, 0, 1000, 32.684, 52.9338846487
152, 750, 0.75, 0.25, 1000, 32.306, 17.4180470777
153, 750, 0.75, 0.5, 1000, 47.142, 36.6134106032
154, 750, 0.75, 0.75, 1000, 57.796, 54.6034283173
155, 750, 0.75, 1, 1000, 63.016, 64.6068088053
156, 750, 1, 0, 1000, 1000, 0
157, 750, 1, 0.25, 1000, 663.96, 345.336986725
158, 750, 1, 0.5, 1000, 432.494, 331.329397977
159, 750, 1, 0.75, 1000, 324.042, 288.134989607
160, 750, 1, 1, 1000, 241.896, 207.966567467
161, 1000, 0.25, 0, 1000, 220.91, 405.143033878
162, 1000, 0.25, 0.25, 1000, 14.322, 80.5766362912
163, 1000, 0.25, 0.5, 1000, 9.742, 49.2304726364
164, 1000, 0.25, 0.75, 1000, 8.688, 44.4906131223
165, 1000, 0.25, 1, 1000, 7.914, 4.6658979843
166, 1000, 0.5, 0, 1000, 20.612, 98.6123595499
167, 1000, 0.5, 0.25, 1000, 10.734, 4.8624319018
168, 1000, 0.5, 0.5, 1000, 12.29, 6.6976040492
169, 1000, 0.5, 0.75, 1000, 15.514, 10.8527325591
170, 1000, 0.5, 1, 1000, 18.792, 14.6683583267
171, 1000, 0.75, 0, 1000, 23.522, 9.6104898939
172, 1000, 0.75, 0.25, 1000, 25.99, 15.0602091619
173, 1000, 0.75, 0.5, 1000, 35.624, 26.8742743902
174, 1000, 0.75, 0.75, 1000, 41.372, 34.9459241686
175, 1000, 0.75, 1, 1000, 49.532, 44.9935214892
176, 1000, 1, 0, 1000, 996.004, 63.0558164169
177, 1000, 1, 0.25, 1000, 555.738, 360.443889331
178, 1000, 1, 0.5, 1000, 359.068, 309.626632214
179, 1000, 1, 0.75, 1000, 238.426, 232.050392208
180, 1000, 1, 1, 1000, 209.594, 198.410385726
